sample_id,sample_version,source_pool_version,area_id,source_geometry_id,spatial_validation_zone,candidate_origin,sample_stratum,sample_stratum_description,area_ha_raw,perimeter_m_raw,compactness_raw,area_bin_raw,n_points,n_parts,n_points_bin,n_parts_bin,current_high_confidence_v2,identity_reference_match,strict_reference_match,large_polygon_flag,small_candidate_flag,complex_boundary_flag,geometric_prior_rank,previous_visual_label,previous_eval_class,previous_eval_class_strict,review_priority_score,review_priority_reason,label_lon,label_lat,visual_label_v2,plantation_pattern_v2,review_notes_v2
OVR2_0001,olive_visual_review_sample_v2,candidate_pool_v2_area_ge_0_5,f03ebfdd-7cf1-40d0-8f06-40a87fb7e37e,f03ebfdd-7cf1-40d0-8f06-40a87fb7e37e,north_calabria,added_candidate,north_added_unreviewed,Nord Calabria - nuove candidate non high-confidence,0.760557550811343,372.220858139856,0.689827548878805,"0_50_1_00_ha",186,1,101_250,singlepart,false,false,false,false,true,false,1,,,,100,Nord Calabria - nuova area candidate non high-confidence,16.4864900761506,39.8299287049513,olive_like,plantation_like,
OVR2_0002,olive_visual_review_sample_v2,candidate_pool_v2_area_ge_0_5,ff24a594-7284-4fff-8911-b7ab9f68bfb0,ff24a594-7284-4fff-8911-b7ab9f68bfb0,north_calabria,added_candidate,north_added_unreviewed,Nord Calabria - nuove candidate non high-confidence,3.13862480238936,860.58401532947,0.532552853556743,2_00_5_00_ha,281,1,gt_250,singlepart,false,false,false,false,false,true,1,,,,100,Nord Calabria - nuova area candidate non high-confidence,16.1732325610902,39.8104893528065,olive_like,plantation_like,
OVR2_0003,olive_visual_review_sample_v2,candidate_pool_v2_area_ge_0_5,25b193c3-7321-4092-92d5-0d9ac46bbcab,25b193c3-7321-4092-92d5-0d9ac46bbcab,north_calabria,added_candidate,north_added_unreviewed,Nord Calabria - nuove candidate non high-confidence,2.89199478838565,902.903523853771,0.445784202440695,2_00_5_00_ha,262,1,gt_250,singlepart,false,false,false,false,false,true,1,,,,100,Nord Calabria - nuova area candidate non high-confidence,16.251627998211,39.652705067957,olive_like,plantation_like,
OVR2_0004,olive_visual_review_sample_v2,candidate_pool_v2_area_ge_0_5,49d298d1-8946-4ed9-b400-c13295ce0a06,49d298d1-8946-4ed9-b400-c13295ce0a06,north_calabria,added_candidate,north_added_unreviewed,Nord Calabria - nuove candidate non high-confidence,35.9057213684433,4602.58638170298,0.212995105717745,ge_5_00_ha,1838,1,gt_250,singlepart,false,false,false,true,false,true,1,,,,100,Nord Calabria - nuova area candidate non high-confidence,16.5067776141758,39.8686048564109,olive_like,plantation_like,
OVR2_0005,olive_visual_review_sample_v2,candidate_pool_v2_area_ge_0_5,47069a53-e55c-4ff5-8e61-a0da4949e717,47069a53-e55c-4ff5-8e61-a0da4949e717,north_calabria,added_candidate,north_added_unreviewed,Nord Calabria - nuove candidate non high-confidence,6.52843254832397,1415.53621679132,0.40942731626552,ge_5_00_ha,328,1,gt_250,singlepart,false,false,false,true,false,true,1,,,,100,Nord Calabria - nuova area candidate non high-confidence,16.1293003086192,39.8482086151866,olive_like,plantation_like,
OVR2_0006,olive_visual_review_sample_v2,candidate_pool_v2_area_ge_0_5,4c3544d7-edfd-4ef2-96d3-08fd57b82df2,4c3544d7-edfd-4ef2-96d3-08fd57b82df2,north_calabria,added_candidate,north_added_unreviewed,Nord Calabria - nuove candidate non high-confidence,1.57570803177164,657.444734586785,0.45810719175108,1_00_2_00_ha,229,1,101_250,singlepart,false,false,false,false,false,false,1,,,,100,Nord Calabria - nuova area candidate non high-confidence,16.2075926870312,39.6415232208216,olive_like,plantation_like,
OVR2_0007,olive_visual_review_sample_v2,candidate_pool_v2_area_ge_0_5,93885e13-ec14-44b5-bdae-9390be5f4219,93885e13-ec14-44b5-bdae-9390be5f4219,north_calabria,added_candidate,north_added_unreviewed,Nord Calabria - nuove candidate non high-confidence,0.933293136387308,481.099302955811,0.506708839547968,"0_50_1_00_ha",190,1,101_250,singlepart,false,false,false,false,true,false,1,,,,100,Nord Calabria - nuova area candidate non high-confidence,16.1707184861875,39.5864063955353,olive_like,plantation_like,
OVR2_0008,olive_visual_review_sample_v2,candidate_pool_v2_area_ge_0_5,d23e6bcd-12be-4847-ae22-835bacf10787,d23e6bcd-12be-4847-ae22-835bacf10787,north_calabria,added_candidate,north_added_unreviewed,Nord Calabria - nuove candidate non high-confidence,1.88757376586272,660.635680989863,0.543487730622288,1_00_2_00_ha,251,1,gt_250,singlepart,false,false,false,false,false,true,1,,,,100,Nord Calabria - nuova area candidate non high-confidence,16.1536510910928,39.5219509155905,olive_like,mixed_or_sparse,
OVR2_0009,olive_visual_review_sample_v2,candidate_pool_v2_area_ge_0_5,bef24b6d-8fca-4974-b35c-a6fb15e0ee02,bef24b6d-8fca-4974-b35c-a6fb15e0ee02,north_calabria,added_candidate,north_added_unreviewed,Nord Calabria - nuove candidate non high-confidence,1.65666281505992,641.396081724333,0.506047616115871,1_00_2_00_ha,184,1,101_250,singlepart,false,false,false,false,false,false,1,,,,100,Nord Calabria - nuova area candidate non high-confidence,16.5118249468571,39.927948241247,olive_like,not_assessable,
OVR2_0010,olive_visual_review_sample_v2,candidate_pool_v2_area_ge_0_5,69ccee85-078f-42d2-8f2e-ed32086741c3,69ccee85-078f-42d2-8f2e-ed32086741c3,north_calabria,added_candidate,north_added_unreviewed,Nord Calabria - nuove candidate non high-confidence,12.4477559542473,1589.98061740699,0.618752930661139,ge_5_00_ha,609,1,gt_250,singlepart,false,false,false,true,false,true,1,,,,100,Nord Calabria - nuova area candidate non high-confidence,16.5029059293411,40.0313598177206,not_olive_like,not_assessable,
OVR2_0011,olive_visual_review_sample_v2,candidate_pool_v2_area_ge_0_5,efc35763-b4fd-499f-8ede-a7a97c0abe44,efc35763-b4fd-499f-8ede-a7a97c0abe44,north_calabria,added_candidate,north_added_unreviewed,Nord Calabria - nuove candidate non high-confidence,26.4603960233178,6282.51471779368,0.0842440378365631,ge_5_00_ha,2328,1,gt_250,singlepart,false,false,false,true,false,true,1,,,,100,Nord Calabria - nuova area candidate non high-confidence,16.4064384833637,39.787687085454,olive_like,plantation_like,
OVR2_0012,olive_visual_review_sample_v2,candidate_pool_v2_area_ge_0_5,58397a42-9e87-4e0f-911e-3e07dd5e286b,58397a42-9e87-4e0f-911e-3e07dd5e286b,north_calabria,added_candidate,north_added_unreviewed,Nord Calabria - nuove candidate non high-confidence,18.4627892048093,4649.22263401818,0.107336267327808,ge_5_00_ha,1735,1,gt_250,singlepart,false,false,false,true,false,true,1,,,,100,Nord Calabria - nuova area candidate non high-confidence,16.2866377056726,39.8029481864462,olive_like,plantation_like,
OVR2_0013,olive_visual_review_sample_v2,candidate_pool_v2_area_ge_0_5,9cc9f9c8-580c-4d62-815a-52c317f78356,9cc9f9c8-580c-4d62-815a-52c317f78356,north_calabria,added_candidate,north_added_unreviewed,Nord Calabria - nuove candidate non high-confidence,1.47856036515277,540.517587947387,0.63595921419798,1_00_2_00_ha,193,1,101_250,singlepart,false,false,false,false,false,false,1,,,,100,Nord Calabria - nuova area candidate non high-confidence,15.8745166995677,39.6893073044163,olive_like,plantation_like,
OVR2_0014,olive_visual_review_sample_v2,candidate_pool_v2_area_ge_0_5,67aede13-95a8-4156-be1e-30fb6f6ba347,67aede13-95a8-4156-be1e-30fb6f6ba347,north_calabria,added_candidate,north_added_unreviewed,Nord Calabria - nuove candidate non high-confidence,7.34374236285154,1759.09995129566,0.29822652164201,ge_5_00_ha,736,1,gt_250,singlepart,false,false,false,true,false,true,1,,,,100,Nord Calabria - nuova area candidate non high-confidence,15.8806379363031,39.7492820615607,uncertain,not_assessable,
OVR2_0015,olive_visual_review_sample_v2,candidate_pool_v2_area_ge_0_5,f4a59980-311d-420c-8b0f-03cf981eef29,f4a59980-311d-420c-8b0f-03cf981eef29,north_calabria,added_candidate,north_added_unreviewed,Nord Calabria - nuove candidate non high-confidence,2.22012442581911,807.031589044149,0.428357238703168,2_00_5_00_ha,325,1,gt_250,singlepart,false,false,false,false,false,true,1,,,,100,Nord Calabria - nuova area candidate non high-confidence,16.2476966392621,39.6024688648794,olive_like,plantation_like,
